type,uniprot,pdb,fo1_hs,fo2_hs,fo1_cs,fo2_cs,fo21_hs,dce_hs,dce_cs,pki,le,bei,nha,mw
hs,A7YT55,5EEI,0.686046511627907,1.0,0.9883720930232558,0.631578947368421,0.313953488372093,6.578947368421052,5.0,9.221848749616356,0.23645766024657325,0.033628688603966596,39,274.22564282000025
hs,A7YT55,5EEK,0.6686046511627907,0.8636363636363636,0.9883720930232558,0.5454545454545454,0.19503171247357298,5.818181818181818,4.454545454545454,9.096910013008056,0.20674795484109218,0.028762878017264314,44,316.27259301200064
hs,A7YT55,5EF7,0.5813953488372093,0.6956521739130435,1.0,0.6521739130434783,0.11425682507583412,5.6521739130434785,5.391304347826087,9.0,0.21951219512195122,0.027251928471429886,41,330.2518575680005
hs,A7YT55,5EEN,0.7093023255813954,1.0,0.9767441860465116,0.5909090909090909,0.2906976744186046,6.409090909090909,5.045454545454546,8.958607314841775,0.2634884504365228,0.026646004538330197,34,336.2082785040003
hs,A7YT55,6CSP,0.5058139534883721,1.0,0.9534883720930233,1.0,0.4941860465116279,10.9,10.4,8.522878745280337,0.4058513688228732,0.058733804527560746,21,145.11027872
hs,A7YT55,6CSS,0.5116279069767442,1.0,0.9651162790697675,1.0,0.4883720930232558,12.222222222222221,12.0,7.602059991327962,0.42233666618488674,0.05798910351450183,18,131.094628656
hs,A7YT55,5EFH,0.5581395348837209,0.8823529411764706,1.0,0.8823529411764706,0.32421340629274964,6.588235294117647,6.176470588235294,6.096910013008056,0.15242275032520142,0.02343432555105483,40,260.1700654761801
hs,A7YT55,6CSQ,0.5058139534883721,1.0,0.9534883720930233,1.0,0.4941860465116279,11.4,11.1,6.3872161432802645,0.2777050497078376,0.04401629022851528,23,145.11027872
hs,A7YT55,5EFJ,0.6918604651162791,0.7575757575757576,1.0,0.5454545454545454,0.06571529245947849,4.090909090909091,3.090909090909091,6.455931955649724,0.10247511040713848,0.013583520386947292,63,475.2767892080004
hs,A8DG50,3SU0,0.9858156028368794,0.37254901960784315,1.0,0.3137254901960784,-0.6132665832290363,3.3333333333333335,1.6666666666666667,6.790484985457369,0.07147878932060389,0.009036430895510917,95,751.4565279120012
hs,A8DG50,3SU6,0.9929078014184397,0.32075471698113206,1.0,0.2641509433962264,-0.6721530844373076,3.2830188679245285,1.679245283018868,6.018634490921456,0.05572809713816163,0.007760843812621755,108,775.5128999160016
